acamol,acet,acetalgin,adol,aeknil,aldolor,alvedon,apap,apiretal,apiretal flas,atamel,atasol,benuron,biogesic,biogesic-kiddielets,buscapina,calonal,calpol,captin,cemol,cetamol,coldex,coldrex,co-tipol,cotibin,crocin,dolo,dafalgan,daleron,depon,dexamol,dolex,dolgesic,doliprane,dolorol,dolprone,dolyc,efferalgan,endopain,enelfa,europain,excedrin,febrectal,febricet,febridol,fensum,gelocatil,gripin,gesic,hedex,hedanol,herron,influbene,kafa,kitadol,lekadol,lupocet,metacin,mexalen,milidon,minoset,momentum,napa,napadol,niko,neo-kiddielets,pacol,pamol,parol,panado,panadol,panamax,panda,panodil,paracet,paracitol,paralen,paramax,paramed,paratabs,paramol,paracetol,parol,perdolan,perfalgan,pinex,piretanyl,plicet,pyrenol,pyrigesic,reliv,revanin,rokamol,rubophen,sara,scanol,tachipirin,tachipirina,tafirol,tapsin,termalgin,tempra,thomapyrin,tipol,treuphadol,triaminic,tylenol,uphamol,vermidon,vitamol,xumadol,zolben => paracetamol
actiprofen,actron,adagin,addaprin,adex,advifen,advil,aktren,alaxan,,algifor,algoflex,algofren,alivium,arinac,arthrofen,artofen,betagesic,betaprofen,blokmax,bonifen,brufen,bufen,bugesic,buplex,buprovil,burana,caldolor,calprofen,combiflam,dalsy,dismenol,diverin,dolgit,dolofort,doloraz,dolormin,dolo-spedifen,dorival,easofen,ebufac,emuprofen,espidifen,eve,faspic,fenbid,fenpaed,feverfen,finalflex,galprofen,gelofen,genpril,haltran,hedafen,hedex,i-prin,i-profen,ibalgin,ibrofen,ibu,ibu,ibufen,íbúfen,ibugan,ibugel,ibuflam,ibugesic,ibuhexal,ibuleve,ibum,ibumax,ibumetin,ibumidol,ibupain,ibupirac,ibuprofen,ibuprofene,ibuprohm,ibuprom,ibuprox,ibuprosyn,ibu-ratiopharm,ibustar,ibutabs,ibutab,ibu-vivimed,ibux,ibuxin,ipren,irfen,kratalgin,lotem,medicol,midol,moment,motrin,mypaid,myprodol,narfen,neobrufen,neofen,norvectan,nuprin,nureflex,nurofen,orbifen,paduden,panafen,perifar,profin,proprinal,proris,q-profen,ranfen,rapidol,ratiodolor,rimafen,salvarina,sarixell,solpaflex,spedifen,spidifen,tefin,unafen,upfen => ibuprofen
miltown,equanil => meprobamate
abilify,aripiprazole
abraxane,paclitaxel
accupril,quinapril,accuretic
actemra,tocilizumab
actimmune,interferon
activase,alteplase
adakveo,crizanlizumab
adbry,tralokinumab-idrm
adcetris,brentuximab
adcirca,tadalafil
adempas,riociguat
advate,antihemophilic,adynovate
aemcolo,rifamycin
afinitor,everolimus
aimovig,erenumab
ajovy,fremanezumab
akynzeo,netupitant,palonosetron
akynzeo,fosnetupitant,palonosetron
aldactazide,spironolactone,hydrochlorothiazide
aldactone,spironolactone
aldara,imiquimod
alecensa,alectinib
alimta,pemetrexed
aliqopa,copanlisib
allegra,fexofenadine
altace,ramipril
alunbrig,brigatinib
amitiza,lubiprostone
amondys,casimersen
ampyra,dalfampridine
amvuttra,vutrisiran
ancobon,flucytosine
angeliq,drospirenone,estradiol
apretude,cabotegravir
aptivus,tipranavir
arazlo,tazarotene
arestin,minocycline
aromasin,exemestane
arranon,nelarabine
atopiclair,nonsteroidal
aubagio,teriflunomide
austedo,deutetrabenazine
auvi-q,epinephrine
avastin,bevacizumab
avycaz,ceftazidime,avibactam
ayvakit,avapritnib
azedra,iobenguane
bacitracin,bacitracin
balversa,erdafitinib
baqsimi,glucagon
baraclude,entecavir
bavencio,avelumab
belsomra,suvorexant
bendeka,bendamustine
benefix,recombinant
benlysta,belimumab
biltricide,praziquantel
blincyto,blinatumomab
bosulif,bosutinib
braftovi,encorafenib
brilinta,ticagrelor
briviact,brivaracetam
brukinsa,zanubrutinib
byetta,exenatide
bylvay,odevixibat
bystolic,nebivolol
cabenuva,cabotegravir,rilpivirine
calan,verapamil
calquence,acalabrutinib
camcevi,leuprolide
camptosar,irinotecan
camzyos,mavacamten
canasa,mesalamine
caplyta,lumateperone
caprelsa,vandetanib
carac,fluorouracil
carafate,sucralfate
carbatrol,carbamazepine
cathflo,alteplase
caverject,alprostadil
celebrex,celecoxib
celontin,methsuximide
chantix,varenicline
chemet,succimer
cialis,tadalafil
cibinqo,abrocitinib
cinqair,reslizumab
coartem,artmether,lumefantrine
colazal,balsalazide
colcrys,colchicine
colestid,colestipol
combivir,lamivudine,ziovudine
complera,emtricitabine,rilpivirine
corlanor,ivabradine
cortrophin,corticotropin
cosela,trilaciclib
cosentyx,secukinumab
cosmegen,dactinomycin
cotellic,cobimetinib
crinone,progesterone
crysvita,burosumab-twza
cuprimine,penicillamine
cymbalta,duloxetine
cyramza,ramucirumab
cytotec,misoprostol
daliresp,roflumilast
dalvance,dalbavancin
daraprim,pyrimethamine
darzalex,daratumumab
daurismo,glasdegib
daypro,oxaprozin
dayvigo,lemborexant
delstrigo,doravirine,lamivudine
delzicol,mesalamine
demser,metyrosine
denavir,penciclovir
depakote,divalproex
dexilant,dexlansoprazole
diflucan,fluconazole
dojolvi,triheptanoin
doptelet,avatrombopag
dovato,dolutegravir,lamivudine
droxia,hydroxyurea
duavee,bazedoxifene
duobrii,tazarotene
duopa,carbidopa
dupixent,dupilumab
dysport,abobotulinumtoxina
edarbyclor,chlorthalidone
edurant,rilpivirne
efudex,fluorouracil
elecare,elecare
elidel,pimecrolimus
eliquis,apixaban
elitek,rasburicase
ellence,epirubicin
elzonris,tagraxofusp-erzs
emend,aprepitant
emflaza,deflazacort
emgality,galcanezumab-gnlm
empaveli,pegcetacoplan
empliciti,elotuzumab
emtriva,emtricitabine
emverm,mebendazole
enbrel,etanercept
enspryng,satralizumab-mwge
entresto,sacubitril,valsartan
entyvio,vedolizumab
epclusa,sofosbuvir,velpatasvir
epidiolex,cannabidiol
epipen,epinephrine
epivir,lamivudine
epivir-hbv,lamivudine
epzicom,lamivudine
equetro,carbamazepine
erbitux,cetuximab
erivedge,vismodegib
erleada,apalutamide
esbriet,pirfenidone
evenity,romosozumab
evista,raloxifene
evkeeza,evinacumab-dgnb
evomela,melphalan
evrysdi,risdiplam
exjade,deferasirox
exkivity,mobocertinib
eylea,aflibercept
famvir,famciclovir
farxiga,dapagliflozin
fasenra,benralizumab
faslodex,fulvestrant
felbatol,felbamate
feldene,piroxicam
feraheme,ferumoxytol
ferriprox,deferiprone
fetzima,levomilnacipran
fintepla,fenfluramine
firdapse,amifampridine
flagyl,metronidazole
flexeril,cyclobenzaprine
folotyn,pralatrexate
forteo,teriparatide
fotivda,tivozanib
fulphila,pegfilgrastim-jmdb
fuzeon,enfuvirtide
fycompa,perampanel
gabitril,tiagabine
galafold,migalastat
gamifant,emapalumab-lzsg
gamunex-c,intravenous
gavreto,pralsetinib
gazyva,obinutuzumab
gengraf,cyclosporine
genotropin,somatropin
genvoya,elvitegravir,cobicistat,emtricitabine
gilenya,fingolimod
gilotrif,afatinib
gimoti,metoclopramide
givlaari,givosiran
gleostine,lomustine
glucagon,glucagon
glucotrol,glipizide
glyset,miglitol
glyxambi,empagliflozin,linagliptin
gocovri,amantadine;
granix,tbo-filgrastim
halcion,triazolam
harvoni,ledipasvir,sofosbuvir
hemabate,usp
hemady,dexamethasone
hemlibra,emicizumab-kxwh
herceptin,trastuzumab
trastuzumab,hyaluronidase-oysk
herzuma,trastuzumab-pkrb
hetlioz,tasimelteon
humira,adalimumab
hycamtin,topotecan
hycamtin,topotecan
ibrance,palbociclib
iclusig,ponatinib
idamycin,idarubicin
idhifa,enasidenib
ilaris,canakinumab
ilumya,tildrakizumab-asmn
imbruvica,ibrutinib
imcivree,setmelanotide
imfinzi,durvalumab
increlex,mecasermin
infed,infed
inflectra,infliximab-dyyb
ingrezza,valbenazine
inlyta,axitinib
inqovi,decitabine,cedazuridine
inrebic,fedratinib
inspra,eplerenone
intelence,etravirine
intuniv,guanfacine
invokamet,canagliflozin-metformin
canagliflozin,metformin
invokana,canagliflozin
iressa,gefitinib
isentress,raltegravir
istodax,romidepsin
isturisa,osilodrostat
jadenu,deferasirox
jakafi,ruxolitinib
janumet,sitagliptin,metformin
jardiance,empagliflozin
jelmyto,mitomycin
jemperl,dostarlimab
jentadueto,linagliptin,metformin
jevtana,cabazitaxel
jublia,efinaconazole
juluca,dolutegravir,rilpivirine
jynarque,tolvaptan
kaletra,lopinavir,ritonavir
kalydeco,ivacaftor
kanjiniti,trastuzumab-anns
kazano,alogliptin,metformin
kepivance,palifermin
kerendia,finerenone
kesimpta,ofatumumab
keveyis,dichlorphenamide
kevzara,sarilumab
keytruda,pembrolizumab
khapzory,levoleucovorin
kimmtrak,tebentafusp-tebn
kimyrsa,oritavancin
kineret,anakinra
kisqali,ribociclib
ribociclib,letrozole
korlym,mifepristone
koselugo,selumetinib
kyprolis,carfilzomib
lamictal,lamotrigine
lampit,nifurtimox
latuda,lurasidone
lemtrada,alemtuzumab
lenvima,lenvatinib
leqvio,inclisiran
letairis,ambrisentan
leukine,sargramostim
levoxyl,levothyroxine
lexiscan,regadenoson
lialda,mesalamine
libtayo,cemiplimab-rwlc
lincocin,lincomycin
linzess,linaclotide
lioresal,baclofen
livalo,pitavastatin
livtencity,maribavir
lonsurf,trifluridine,tipiracil
lopid,gemfibrozil
lorbrena,lorlatinib
lotronex,alosetron
lucemyra,lofexidine
lucentis,ranibizumab
lumakras,sotorasib
lupkynis,voclosporin
luzu,luliconazole
lybalvi,olanzapone,samidorphan
lynparza,olaparib
lynparza,olaparib
lyrica,pregabalin
lytgobi,futibatinib
lyvispah,baclofen
measles,mumps
malarone,atovaquone,proguanil
margenza,margetuximab-cmkb
mavenclad,cladribine
mavyret,glecaprevir,pibrentasvir
mayzent,siponimod
mekinist,trametinib
menquadfi,meningococcal
mephyton,phytonadione
miacalcin,calcitonin-salmon
monjuvi,tafasitamab-cxix
motegrity,prucalopride
movantik,naloxegol
mozobil,plerixafor
multaq,dronedarone
muse,alprostadil
mvasi,bevacizumab-awwb
mycapssa,octreotide
mycobutin,rifabutin
myfembree,relugolix,estradiol
mylotarg,gemtuzumab
myobloc,rimabotulinumtoxinb
myrbetriq,mirabegron
mytesi,delayed-release,crofelemer
naglazyme,galsulfase
namenda,memantine
natazia,dienogest
nayzilam,midazolam
nesina,alogliptin
neulasta,pegfilgrastim
neupogen,filgrastim
nexavar,sorafenib
nicotrol,nicotine
ninlaro,ixazomib
nitrostat,nitroglycerin
nityr,nitisinone
nivestym,filgrastim-aafi
noritate,metronidazole
norpace,disopyramide
norvir,ritonavir
nourianz,istradefylline
30,insulin
noxafil,posaconazole
nplate,romiplostim
nubeqa,darolutamide
nucala,mepolizumab
nulibry,fosdenopterin
nulojix,belatacept
nuplazid,pimavanserin
nushield,woundessing
nuvigil,armodafinil
nuzyra,omadacycline
nyvepria,pegfilgrastim-apgf
ocrevus,ocrelizumab
odefsey,emtricitabine,rilpivirine
odomzo,sonidegib
ofev,nintedanib
ogivri,trastuzumab-dkst
olumiant,baricitinib
olux-e,clobetasol
oncaspar,pegaspargase
onfi,clobazam
ongentys,opicapone
onglyza,saxagliptin
onpattro,patisiran
ontruzant,trastuzumab-dttb,iv
onureg,azacitidine
opdivo,nivolumab
opdualag,nivolumab,relatlimab-rmbw
opsumit,macitentan
opzelura,ruxolitinib,topical
orbactiv,oritavancin
orencia,abatacept
orenitram;,treprostinil
orfadin,nitisinone
orgovyx,relugolix
oriahnn,elagolix,estradiol,elagolix
orilissa,elagolix
orkambi,lumacaftor,ivacaftor
orladeyo,berotralstat
orthovisc,hyaluronan
oseni,alogliptin,pioglitazone
otezla,apremilast
oxbryta,voxelotor
oxlumo,lumasiran
ozempic,semaglutide
palynziq,pegvaliase-pqpz
panhematin,hemin
parsabiv,etelcalcetide
pediasure,pediasure
pemazyre,pemigatinib
pentacel,diptheria
pentasa,mesalamine
perative,perative
perjeta,pertuzumab
pertzye,amylase,lipase,pancrelipase,protease
phesgo,pertuzumab,trastuzumab,hyaluronidase-zzxf
pifeltro,doravirine
piqray,alpelisib
pomalyst,pomalidomide
ponvory,ponesimod
portrazza,necitumumab
poteligeo,mogamulizumab-kpkc
praluent,alirocumab
pretomanid,pretomanid
prevymis,letermovir
prezcobix,darunavir,cobicistat
prezista,darunavir
priftin,rifapentine
pristiq,desvenlafaxine
procardia,nifedipine
proctofoam,hydrocortisone-pramoxine
prolia,denosumab
promacta,eltrombopag
promote,promote
provenge,sipuleucel-t
prozac,fluoxetine
pulmocare,pulmocare
pylera,metronidazole,tetracycline
pyrimethamine,pyrimethamine
pyrukynd,mitapivat
qelbree,viloxazine
qinlock,ripretinib
qtern,dapagliflozin,saxagliptin
qulipta,atogepant
rapaflo,silodosin
rapamune,sirolimus
rasuvo,methotrexate
rayaldee,calcifediol
reblozyl,luspatercept-aamt
recarbrio,relebactam
regranex,becaplermin
relyvrio,taurursodiol
remicade,infliximab
remodulin,treprostinil
renflexis,infliximab-abda
renova,tretinoin
repatha,evolocumab
restasis,cyclosporine
retevmo,selpercatinib
retin-a,tretinoin
retin-a,tretinoin
retrovir,zidovudine
revlimid,lenalidomide
rexulti,brexpiprazole
reyvow,lasmiditan
rezurock,belumosudil
riabni,infliximab-axxq,iv
ridaura,auranofin
rinvoq,upadacitinib
rituxan,rituximab
rolvedon,eflapegrastim-xnst
rowasa,mesalamine
rozerem,ramelteon
rozlytrek,entrectinib
rubraca,rucaparib
rukobia,fostemsavir
ruxience,rituximab-pvvr
rybelsus,semaglutide
rybrevant,amivantamab-vmjw
rydapt,midostaurin
rytary;,carbidopa,levodopa
sabril,vigabatrin
safyral,drospirenone
30mg,tolvaptan
saphnelo,anifrolumab-fnia
sarclisa,isatuximab-irfc
savella,milnacipran
scemblix,asciminib
selzentry,maraviroc
sensipar,cinacalcet
serostim,somatropin
shingrix,adjuvanted
signifor,pasireotide
siklos,hydroxyurea
siliq,brodalumab
simponi,golimumab
sirturo,bedaquiline
skelaxin,metaxalone
skyrizi,risankizumab-rzaa
skytrofa,lonapegsomatropin-tcgd
soliris,eculizumab
solodyn,minocycline
somavert,pegvisomant
sonata,zaleplon
sovaldi,sofosbuvir
spravato,esketamine
sprycel,dasatinib
stelara,ustekinumab
stivarga,regorafenib
strattera,atomoxetine
stribild,elvitegravir,cobicistat,emtricitabine
stromectol,ivermectin
suplena,suplena
sustol,granisetron;
susvimo,ranibizumab
sylvant,siltuximab
symbicort,budesonide
symbyax,olanzapine,fluoxetine
symdeko,tezacaftor,ivacaftor
symmetrel,amantadine
symtuza,darunavir,cobicistat,emtricitabine
synagis,palivizumab
synjardy,empagliflozin
empagliflozin,metformin
synthroid,usp
syprine,trientine
tabrecta,capmatinib
tafinlar,dabrafenib
tagrisso,osimertinib
talicia,amoxicillin,rifabutin
taltz,ixekizumab
talzenna,talazoparib
targretin,bexarotene
tasigna,nilotinib
tasmar,talcapone
tavneos,avacopan
tazverik,tazemetostat
tecentriq,atezolizumab
teflaro,ceftaroline
tenivac,tetanus
tepezza,teprotumumab-trbw
tepmetko,tepotinib
tessalon,benzonatate
tetrix,tetrix
thalomid,thalidomide
thiola,tiopromin
tibsovo,ivosidenib
tikosyn,dofetilide
tivicay,dolutegravir
tnkase,tenecteplase
tobi,tobramycin
torisel,temsirolimus
tracleer,bosentan
tradjenta,linagliptin
trazimera,trastuzumab-qyyp
treanda,bendamustine
trecator,ethionamide
tremfya,guselkumab
trijardy,empagliflozin,linagliptin,metformin
trikafta,elexacaftor,tezacaftor,ivacaftor
trintellix,vortioxetine
triumeq,abacavir,dolutegravir,lamivudine
lamivudine,zidovudine)
trulance,plecanatide
trulicity,dulaglutide
truvada,emtricitabine
truxima,rituximab-abbs
tukysa,tucatinib
turalio,pexidartinib
